@relation HAR

@attribute accX__fft1 numeric
@attribute accX__fft2 numeric
@attribute accX__fft3 numeric
@attribute accX__fft4 numeric
@attribute accX__fft5 numeric
@attribute accY__fft1 numeric
@attribute accY__fft2 numeric
@attribute accY__fft3 numeric
@attribute accY__fft4 numeric
@attribute accY__fft5 numeric
@attribute accZ__fft1 numeric
@attribute accZ__fft2 numeric
@attribute accZ__fft3 numeric
@attribute accZ__fft4 numeric
@attribute accZ__fft5 numeric
@attribute accM__fft1 numeric
@attribute accM__fft2 numeric
@attribute accM__fft3 numeric
@attribute accM__fft4 numeric
@attribute accM__fft5 numeric
@attribute class {walking,running,static,cycling}

@data
-0.96,50.42,16.77,63.98,-22.56,-3.51,26.26,8.66,57.45,34.41,0.08,5.22,-2.04,-14.77,-13.05,6.01,-4.57,-11.07,-73.57,-47.95,walking
-3.36,-38.01,-0.47,-36.36,-24.01,-0.71,38.17,-4.73,58.01,-11.68,-5.65,4.03,-11.88,-8.16,-2.28,2.37,-17,4.05,-23.31,23.96,walking
3.04,-18.53,-12.09,-28.74,-11.9,-4.71,-6.65,-11.07,-10.31,-20.9,-2.4,-11.87,8.27,-17.4,-1.9,3.84,21.74,23.85,48.44,25.33,walking
4.72,-1.57,22.52,13.05,-10.71,2,-6.54,-10.93,-23.4,-10.92,5.59,-7.55,-30.6,-25.33,-8.13,-2.15,7.58,-57.61,-30.25,43.86,walking
-9.99,-53.67,26.65,-10.75,34.15,2.33,2.98,4.18,-3.81,13.65,9.45,4.59,-20.93,5.58,2.57,0.07,47.29,3.77,49.31,4.64,walking
3.5,6.33,-25.16,4.06,-17.98,-5.23,-20.82,-4.45,-19.03,-7.57,-2.62,-48.28,6.21,-44.98,20.71,2.81,23.58,3.85,2.19,-10.2,walking
-0.3,27.81,13.25,14.21,3.38,-2.81,-4.78,-3.22,15.83,-8.98,-5.02,34.96,-7.14,8.9,10.82,1.73,-2.03,-10.97,-18.74,59.8,walking
-4.03,-50.31,0.3,-24.29,11.47,1.34,33.51,-15.82,20.43,-22.93,-5.19,53.49,0.01,98.73,6.9,-2.12,-28.13,1.34,-38.18,12.18,walking
6.78,28.73,-4.11,29.08,-5.89,1.79,-68.6,-3.66,-77.24,26.81,0.35,-36.46,-7.03,-32.31,-16.1,-6.55,41.59,25.84,58.57,-28.44,walking
-6.35,21.3,-7.42,69.1,9.97,4.98,4.91,20,2.08,57.27,5.31,-4.26,7.28,-0.77,-31.26,-4.74,22.81,-19.75,5.56,-50.39,walking
-12.85,14.77,20.06,-0.12,-28.8,-5.71,20.78,-11.52,19.58,41.87,0.61,-20.53,25.09,-27.64,-7.03,7.56,12.86,21.76,-20.1,-28.25,walking
